Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
ALDOC,3.34E-02,1.83E-01,2.13E+00,2.13E+00,1.62E+00,7.58E-01
SCNN1A,3.42E-02,1.86E-01,2.13E+00,2.13E+00,3.88E+00,1.82E+00
MLXIPL,7.31E-02,2.95E-01,2.13E+00,2.13E+00,2.41E+00,1.13E+00
ADAMTSL5,4.56E-02,2.22E-01,2.12E+00,2.12E+00,1.19E+00,5.61E-01
LAMA3,5.95E-01,8.43E-01,2.12E+00,2.12E+00,1.11E+01,5.25E+00
SULT1A4,6.19E-01,8.53E-01,2.12E+00,2.12E+00,1.10E+01,5.20E+00
EVA1C,1.61E-04,4.44E-03,2.11E+00,2.11E+00,2.00E+01,9.48E+00
ACVR2A,3.27E-03,3.96E-02,2.11E+00,2.11E+00,4.00E+00,1.90E+00
MAPRE2,2.91E-07,3.46E-05,2.10E+00,2.10E+00,2.93E+01,1.40E+01
JAK2,8.56E-04,1.58E-02,2.10E+00,2.10E+00,7.14E+00,3.41E+00
C1orf53,1.85E-01,4.93E-01,2.09E+00,2.09E+00,1.19E+00,5.70E-01
CORO2A,9.06E-03,7.89E-02,2.09E+00,2.09E+00,5.61E+00,2.68E+00
PELI1,2.76E-03,3.52E-02,2.09E+00,2.09E+00,2.08E+00,9.97E-01
C5orf63,2.75E-03,3.51E-02,2.09E+00,2.09E+00,2.30E+01,1.10E+01
GAB2,9.51E-03,8.17E-02,2.08E+00,2.08E+00,7.39E+00,3.54E+00
ZBTB42,2.04E-02,1.35E-01,2.08E+00,2.08E+00,4.24E+00,2.03E+00
CARD6,1.59E-04,4.41E-03,2.08E+00,2.08E+00,9.29E+00,4.46E+00
FMN1,2.14E-03,2.95E-02,2.08E+00,2.08E+00,8.90E+00,4.28E+00
CFD,4.63E-05,1.69E-03,2.08E+00,2.08E+00,1.88E+01,9.05E+00
TMEM144,2.26E-02,1.43E-01,2.08E+00,2.08E+00,9.98E+00,4.81E+00
FSBP,5.16E-01,7.96E-01,2.08E+00,2.08E+00,7.85E+00,3.78E+00
AL392089.1,5.22E-02,2.43E-01,2.07E+00,2.07E+00,4.34E+00,2.09E+00
TPT1-AS1,1.63E-02,1.17E-01,2.07E+00,2.07E+00,3.37E+00,1.62E+00
SNTB1,1.19E-01,3.88E-01,2.07E+00,2.07E+00,1.38E+00,6.67E-01
ADAM22,2.92E-01,6.21E-01,2.07E+00,2.07E+00,2.31E+00,1.11E+00
HMOX1,6.50E-05,2.22E-03,2.07E+00,2.07E+00,2.18E+02,1.05E+02
CD55,1.45E-06,1.21E-04,2.07E+00,2.07E+00,1.43E+01,6.90E+00
PLA2R1,1.33E-02,1.02E-01,2.07E+00,2.07E+00,3.40E+00,1.64E+00
APLP1,4.00E-04,8.98E-03,2.07E+00,2.07E+00,2.97E+01,1.44E+01
STEAP2,6.71E-02,2.82E-01,2.06E+00,2.06E+00,6.73E+01,3.26E+01
NMRK1,3.14E-02,1.77E-01,2.06E+00,2.06E+00,2.03E+00,9.84E-01
ST8SIA4,5.36E-01,8.10E-01,2.06E+00,2.06E+00,1.21E+01,5.89E+00
LANCL1,6.05E-04,1.24E-02,2.06E+00,2.06E+00,2.52E+01,1.22E+01
FAM50B,5.85E-02,2.61E-01,2.06E+00,2.06E+00,2.82E+00,1.37E+00
GSTO2,2.18E-02,1.40E-01,2.06E+00,2.06E+00,1.49E+00,7.26E-01
XBP1,2.27E-06,1.68E-04,2.05E+00,2.05E+00,3.07E+01,1.49E+01
KDELR3,5.56E-04,1.17E-02,2.05E+00,2.05E+00,7.74E+00,3.77E+00
NR2F2,6.70E-11,3.63E-08,2.05E+00,2.05E+00,1.37E+02,6.65E+01
TCEANC,1.36E-02,1.04E-01,2.05E+00,2.05E+00,1.96E+00,9.57E-01
CASTOR1,2.91E-03,3.65E-02,2.05E+00,2.05E+00,5.13E+00,2.51E+00
RNU4ATAC,3.90E-03,4.52E-02,2.04E+00,2.04E+00,4.52E+01,2.21E+01
ERAP2,1.89E-02,1.28E-01,2.04E+00,2.04E+00,1.46E+00,7.16E-01
ALPK1,3.64E-05,1.37E-03,2.04E+00,2.04E+00,1.42E+01,6.95E+00
GCNT1,8.71E-03,7.72E-02,2.04E+00,2.04E+00,1.40E+00,6.87E-01
FAM234B,1.82E-01,4.89E-01,2.04E+00,2.04E+00,2.19E+00,1.07E+00
DDX58,2.83E-03,3.58E-02,2.04E+00,2.04E+00,5.60E+00,2.75E+00
PPP1R2B,7.01E-01,8.90E-01,2.03E+00,2.03E+00,3.30E+00,1.62E+00
TCTN2,4.12E-02,2.08E-01,2.03E+00,2.03E+00,8.19E+00,4.04E+00
AL136040.1,3.88E-02,2.00E-01,2.02E+00,2.02E+00,2.41E+00,1.19E+00
ANKRD33B,2.58E-05,1.07E-03,2.02E+00,2.02E+00,1.61E+01,7.95E+00
TNFSF13,1.24E-01,3.97E-01,2.02E+00,2.02E+00,1.27E+00,6.28E-01
C2CD5,4.78E-03,5.16E-02,2.02E+00,2.02E+00,7.90E+00,3.91E+00
ADPRM,1.36E-02,1.04E-01,2.02E+00,2.02E+00,3.73E+00,1.85E+00
BMP4,9.06E-05,2.92E-03,2.02E+00,2.02E+00,9.55E+01,4.73E+01
NUDT12,3.47E-03,4.14E-02,2.02E+00,2.02E+00,4.02E+00,1.99E+00
ST20-AS1,4.49E-02,2.20E-01,2.02E+00,2.02E+00,2.47E+00,1.23E+00
RTEL1,3.87E-02,2.00E-01,2.01E+00,2.01E+00,2.00E+00,9.95E-01
RELL2,9.94E-03,8.42E-02,2.01E+00,2.01E+00,2.35E+00,1.17E+00
EPDR1,6.65E-07,6.59E-05,2.01E+00,2.01E+00,8.08E+01,4.02E+01
ITGB2,4.08E-02,2.06E-01,2.01E+00,2.01E+00,1.65E+00,8.23E-01
ZFP69B,9.51E-02,3.44E-01,2.01E+00,2.01E+00,1.98E+00,9.85E-01
ROBO1,5.78E-01,8.33E-01,2.01E+00,2.01E+00,1.85E+01,9.20E+00
ANKRD20A1,1.46E-01,4.34E-01,2.00E+00,2.00E+00,4.59E+00,2.29E+00
METTL7B,3.24E-02,1.80E-01,2.00E+00,2.00E+00,5.87E+00,2.93E+00
APOBEC3A,1.65E-01,4.61E-01,2.00E+00,2.00E+00,2.82E+00,1.41E+00
FAM89A,5.63E-01,8.26E-01,2.00E+00,2.00E+00,3.37E+01,1.69E+01
ZNRF2,3.61E-02,1.91E-01,2.00E+00,2.00E+00,2.41E+00,1.21E+00
FBXL2,2.69E-02,1.60E-01,2.00E+00,2.00E+00,2.57E+00,1.29E+00
FOXO1,8.47E-03,7.58E-02,1.99E+00,1.99E+00,4.53E+00,2.27E+00
PAX9,3.50E-01,6.77E-01,1.99E+00,1.99E+00,1.25E+00,6.29E-01
KRT18,8.02E-07,7.52E-05,1.98E+00,1.98E+00,1.80E+03,9.05E+02
TTN-AS1,7.32E-02,2.95E-01,1.98E+00,1.98E+00,3.80E+00,1.92E+00
SCARA5,1.09E-01,3.70E-01,1.98E+00,1.98E+00,4.05E+00,2.04E+00
FN1,3.83E-07,4.22E-05,1.98E+00,1.98E+00,6.13E+01,3.09E+01
HMGN5,9.40E-04,1.68E-02,1.98E+00,1.98E+00,1.54E+01,7.75E+00
ELOVL7,7.07E-01,8.92E-01,1.98E+00,1.98E+00,1.45E+01,7.30E+00
EPM2A,2.12E-01,5.27E-01,1.98E+00,1.98E+00,1.38E+00,6.98E-01
OTUB2,1.43E-02,1.08E-01,1.98E+00,1.98E+00,1.14E+01,5.74E+00
ADCY9,1.13E-03,1.92E-02,1.98E+00,1.98E+00,5.38E+00,2.72E+00
MSL3P1,1.50E-05,6.83E-04,1.98E+00,1.98E+00,3.26E+01,1.64E+01
VWA8,1.62E-03,2.45E-02,1.98E+00,1.98E+00,8.63E+00,4.36E+00
ZHX2,5.22E-02,2.43E-01,1.98E+00,1.98E+00,1.95E+00,9.87E-01
BMS1P1,5.67E-02,2.56E-01,1.97E+00,1.97E+00,3.71E+00,1.88E+00
ZBTB49,1.54E-01,4.46E-01,1.97E+00,1.97E+00,1.68E+00,8.53E-01
TNIK,2.05E-02,1.36E-01,1.97E+00,1.97E+00,5.53E+00,2.81E+00
MAP4K2,9.82E-03,8.37E-02,1.96E+00,1.96E+00,6.22E+00,3.17E+00
HDAC9,1.59E-01,4.53E-01,1.96E+00,1.96E+00,1.96E+00,9.98E-01
CCDC146,1.54E-02,1.12E-01,1.96E+00,1.96E+00,6.29E+00,3.20E+00
H19,8.00E-02,3.12E-01,1.96E+00,1.96E+00,2.17E+00,1.11E+00
DAB2,3.14E-04,7.49E-03,1.96E+00,1.96E+00,2.84E+01,1.45E+01
ARHGAP26,1.31E-07,1.83E-05,1.96E+00,1.96E+00,6.45E+01,3.29E+01
BNC2-AS1,3.58E-02,1.90E-01,1.95E+00,1.95E+00,2.97E+00,1.52E+00
DNAJC22,2.16E-05,9.16E-04,1.95E+00,1.95E+00,3.03E+01,1.55E+01
SLC4A4,1.14E-02,9.23E-02,1.95E+00,1.95E+00,8.99E+00,4.61E+00
DANT2,7.15E-02,2.90E-01,1.95E+00,1.95E+00,2.47E+00,1.27E+00
IRF9,2.07E-02,1.36E-01,1.94E+00,1.94E+00,2.87E+00,1.48E+00
AC012467.2,8.31E-02,3.19E-01,1.94E+00,1.94E+00,2.50E+00,1.29E+00
KAT2B,4.71E-03,5.12E-02,1.94E+00,1.94E+00,9.36E+00,4.84E+00
BX088651.4,2.11E-02,1.38E-01,1.93E+00,1.93E+00,4.15E+00,2.15E+00
DNAH5,6.18E-01,8.52E-01,1.93E+00,1.93E+00,4.96E+00,2.56E+00
STK26,5.87E-01,8.39E-01,1.93E+00,1.93E+00,1.20E+01,6.21E+00
RPL23AP48,9.55E-03,8.19E-02,1.93E+00,1.93E+00,2.55E+01,1.32E+01
CDON,1.92E-01,5.02E-01,1.93E+00,1.93E+00,2.31E+00,1.20E+00
OSGIN1,1.46E-02,1.09E-01,1.93E+00,1.93E+00,1.85E+01,9.60E+00
MXI1,1.68E-05,7.46E-04,1.93E+00,1.93E+00,9.45E+00,4.91E+00
IL18,3.39E-02,1.85E-01,1.92E+00,1.92E+00,2.08E+01,1.08E+01
ZNRF3,1.02E-03,1.78E-02,1.92E+00,1.92E+00,1.45E+01,7.55E+00
APOC1,5.21E-06,3.05E-04,1.92E+00,1.92E+00,7.93E+01,4.12E+01
NDFIP2,1.70E-04,4.62E-03,1.92E+00,1.92E+00,1.70E+01,8.82E+00
CNTNAP3,2.53E-05,1.05E-03,1.92E+00,1.92E+00,2.63E+01,1.37E+01
NEBL,3.86E-04,8.76E-03,1.92E+00,1.92E+00,1.38E+01,7.17E+00
RUNX3,3.49E-04,8.06E-03,1.92E+00,1.92E+00,1.29E+01,6.74E+00
APOL2,2.73E-04,6.70E-03,1.92E+00,1.92E+00,7.35E+00,3.84E+00
DAPK1,1.08E-03,1.85E-02,1.91E+00,1.91E+00,8.43E+00,4.41E+00
GFPT1,2.09E-06,1.56E-04,1.91E+00,1.91E+00,4.48E+01,2.34E+01
PTK6,2.74E-01,6.00E-01,1.91E+00,1.91E+00,2.88E+00,1.50E+00
TPT1P9,5.17E-02,2.41E-01,1.91E+00,1.91E+00,4.29E+00,2.24E+00
SMN2,2.16E-02,1.40E-01,1.91E+00,1.91E+00,1.49E+01,7.82E+00
GRB14,5.97E-01,8.44E-01,1.91E+00,1.91E+00,1.67E+01,8.77E+00
SULT1A3,9.87E-06,5.07E-04,1.90E+00,1.90E+00,3.87E+01,2.03E+01
RALGAPA2,5.15E-06,3.04E-04,1.90E+00,1.90E+00,1.75E+01,9.23E+00
SNN,7.54E-03,7.07E-02,1.90E+00,1.90E+00,5.75E+00,3.03E+00
POLR3B,1.52E-04,4.27E-03,1.90E+00,1.90E+00,1.77E+01,9.35E+00
DLX4,1.54E-01,4.47E-01,1.90E+00,1.90E+00,2.70E+00,1.42E+00
KSR1,7.15E-04,1.39E-02,1.90E+00,1.90E+00,1.75E+01,9.22E+00
AC025181.2,2.78E-02,1.63E-01,1.89E+00,1.89E+00,2.26E+00,1.19E+00
POC1B-GALNT4,7.67E-01,9.17E-01,1.89E+00,1.89E+00,5.11E+00,2.70E+00
MOCOS,2.18E-04,5.63E-03,1.89E+00,1.89E+00,1.52E+01,8.06E+00
PLS1,2.71E-05,1.12E-03,1.89E+00,1.89E+00,3.10E+01,1.64E+01
FLVCR1-DT,3.51E-02,1.88E-01,1.89E+00,1.89E+00,3.12E+00,1.65E+00
SCARNA18B,1.53E-01,4.45E-01,1.89E+00,1.89E+00,2.29E+00,1.21E+00
FBXO27,3.45E-03,4.12E-02,1.89E+00,1.89E+00,3.85E+00,2.04E+00
CXCL1,1.64E-01,4.59E-01,1.88E+00,1.88E+00,5.11E+00,2.71E+00
MFSD2B,5.87E-01,8.39E-01,1.88E+00,1.88E+00,1.90E+00,1.01E+00
MAPK11,7.16E-02,2.91E-01,1.88E+00,1.88E+00,4.57E+00,2.43E+00
BOK,8.26E-03,7.50E-02,1.88E+00,1.88E+00,6.09E+00,3.24E+00
TXNP6,5.81E-02,2.60E-01,1.88E+00,1.88E+00,5.64E-01,3.00E-01
SRP14-AS1,2.24E-02,1.42E-01,1.88E+00,1.88E+00,1.36E+00,7.26E-01
SPATA17,8.36E-02,3.20E-01,1.88E+00,1.88E+00,3.58E+00,1.91E+00
ZFP36L2,7.49E-03,7.04E-02,1.87E+00,1.87E+00,3.05E+01,1.63E+01
BMS1P10,6.79E-01,8.78E-01,1.87E+00,1.87E+00,2.62E+00,1.40E+00
ZFAND6P1,6.28E-01,8.56E-01,1.87E+00,1.87E+00,5.27E+00,2.82E+00
ZNF284,1.96E-01,5.06E-01,1.87E+00,1.87E+00,1.32E+00,7.07E-01
ZEB1-AS1,2.71E-02,1.61E-01,1.87E+00,1.87E+00,1.30E+00,6.96E-01
GDPD1,1.25E-02,9.85E-02,1.87E+00,1.87E+00,3.91E+00,2.09E+00
MT-TW,6.88E-02,2.85E-01,1.86E+00,1.86E+00,6.30E+00,3.38E+00
NCK2,5.89E-02,2.62E-01,1.86E+00,1.86E+00,8.62E+00,4.63E+00
LIMA1,7.04E-04,1.38E-02,1.86E+00,1.86E+00,2.06E+01,1.11E+01
A1BG,5.34E-03,5.55E-02,1.86E+00,1.86E+00,6.33E+00,3.41E+00
GCC2,1.73E-06,1.35E-04,1.86E+00,1.86E+00,1.08E+02,5.81E+01
PAN2,1.29E-01,4.07E-01,1.86E+00,1.86E+00,2.89E+00,1.55E+00
MMP25-AS1,8.34E-02,3.20E-01,1.86E+00,1.86E+00,1.33E+00,7.17E-01
PABPC1L,7.04E-03,6.76E-02,1.85E+00,1.85E+00,7.80E+00,4.20E+00
KITLG,1.33E-02,1.02E-01,1.85E+00,1.85E+00,1.03E+01,5.58E+00
RAB4B,1.01E-01,3.55E-01,1.85E+00,1.85E+00,3.98E+00,2.15E+00
SHANK2,6.16E-01,8.52E-01,1.85E+00,1.85E+00,7.48E+00,4.05E+00
VPS9D1,2.24E-01,5.41E-01,1.85E+00,1.85E+00,1.48E+00,8.03E-01
PRR15,6.34E-01,8.58E-01,1.85E+00,1.85E+00,7.24E+00,3.92E+00
AF117829.1,2.40E-01,5.59E-01,1.85E+00,1.85E+00,3.24E+00,1.75E+00
ACSS1,1.88E-04,5.02E-03,1.85E+00,1.85E+00,1.59E+01,8.63E+00
CEP19,5.10E-03,5.38E-02,1.84E+00,1.84E+00,6.32E+00,3.43E+00
SLC9A3R1,1.87E-05,8.11E-04,1.84E+00,1.84E+00,4.09E+01,2.22E+01
AC092570.3,3.31E-01,6.61E-01,1.84E+00,1.84E+00,2.04E+00,1.11E+00
ZNF485,1.76E-02,1.23E-01,1.84E+00,1.84E+00,2.08E+00,1.13E+00
F12,9.66E-02,3.46E-01,1.84E+00,1.84E+00,1.30E+01,7.06E+00
RAB6D,3.32E-01,6.61E-01,1.84E+00,1.84E+00,2.12E+00,1.15E+00
LGSN,2.74E-02,1.63E-01,1.84E+00,1.84E+00,8.57E+00,4.66E+00
AC002044.1,2.53E-01,5.76E-01,1.84E+00,1.84E+00,1.74E+00,9.49E-01
PA2G4P6,2.30E-02,1.45E-01,1.84E+00,1.84E+00,6.85E+00,3.73E+00
LACC1,9.34E-03,8.09E-02,1.83E+00,1.83E+00,5.46E+00,2.97E+00
RTN2,1.14E-01,3.80E-01,1.83E+00,1.83E+00,2.34E+00,1.28E+00
AP005212.4,1.68E-01,4.67E-01,1.83E+00,1.83E+00,6.00E+00,3.27E+00
SNAPC3,1.45E-06,1.21E-04,1.83E+00,1.83E+00,3.57E+01,1.95E+01
KAZALD1,2.15E-01,5.31E-01,1.83E+00,1.83E+00,3.12E+00,1.70E+00
ME1,6.35E-04,1.28E-02,1.83E+00,1.83E+00,8.87E+01,4.85E+01
KIAA1147,2.57E-04,6.41E-03,1.83E+00,1.83E+00,1.48E+01,8.06E+00
C1QL1,4.27E-02,2.13E-01,1.83E+00,1.83E+00,2.83E+00,1.55E+00
ZNF516,1.09E-01,3.70E-01,1.83E+00,1.83E+00,4.39E+00,2.40E+00
AC023509.4,1.82E-01,4.89E-01,1.83E+00,1.83E+00,1.41E+00,7.74E-01
LMTK3,5.74E-03,5.87E-02,1.83E+00,1.83E+00,6.04E+00,3.31E+00
TBC1D8B,1.87E-02,1.28E-01,1.82E+00,1.82E+00,7.97E+00,4.37E+00
LTBP1,6.73E-03,6.54E-02,1.82E+00,1.82E+00,1.62E+01,8.89E+00
SCOC-AS1,3.89E-02,2.00E-01,1.82E+00,1.82E+00,4.08E+00,2.24E+00
TBC1D4,4.98E-06,2.97E-04,1.82E+00,1.82E+00,2.33E+01,1.28E+01
BIVM-ERCC5,5.22E-02,2.43E-01,1.82E+00,1.82E+00,2.70E+00,1.49E+00
CAPN5,7.52E-02,3.00E-01,1.82E+00,1.82E+00,4.82E+00,2.65E+00
RTN3P1,7.88E-02,3.09E-01,1.82E+00,1.82E+00,5.10E+00,2.81E+00
NCR3LG1,2.97E-02,1.70E-01,1.82E+00,1.82E+00,3.75E+00,2.06E+00
CHAC1,1.07E-02,8.79E-02,1.82E+00,1.82E+00,4.07E+00,2.24E+00
DOCK11,2.40E-02,1.49E-01,1.81E+00,1.81E+00,4.86E+00,2.68E+00
LMO7,8.47E-09,1.99E-06,1.81E+00,1.81E+00,7.81E+01,4.30E+01
PROCR,7.04E-02,2.88E-01,1.81E+00,1.81E+00,3.16E+01,1.74E+01
CNTN1,1.97E-03,2.79E-02,1.81E+00,1.81E+00,9.87E+01,5.45E+01
ARL6,5.50E-01,8.18E-01,1.81E+00,1.81E+00,3.46E+00,1.92E+00
UNC93B1,4.15E-04,9.25E-03,1.81E+00,1.81E+00,4.65E+01,2.57E+01
RHOBTB1,2.04E-03,2.86E-02,1.81E+00,1.81E+00,1.86E+01,1.03E+01
SPATA6,2.24E-01,5.42E-01,1.81E+00,1.81E+00,2.69E+00,1.49E+00
TAF1L,1.02E-01,3.57E-01,1.80E+00,1.80E+00,2.50E+00,1.39E+00
UBE2L6,4.76E-04,1.03E-02,1.80E+00,1.80E+00,1.16E+01,6.45E+00
AC022107.1,7.56E-03,7.08E-02,1.80E+00,1.80E+00,1.00E+01,5.57E+00
AC104763.3,3.34E-02,1.83E-01,1.80E+00,1.80E+00,2.56E+00,1.42E+00
METTL21A,6.82E-04,1.35E-02,1.80E+00,1.80E+00,1.35E+01,7.48E+00
TMEM185B,9.35E-02,3.41E-01,1.80E+00,1.80E+00,8.67E+00,4.81E+00
CBARP,1.11E-01,3.74E-01,1.80E+00,1.80E+00,1.76E+00,9.78E-01
IGFBP4,1.77E-06,1.38E-04,1.80E+00,1.80E+00,5.14E+02,2.85E+02
TMPOP2,1.40E-01,4.25E-01,1.80E+00,1.80E+00,4.95E+00,2.75E+00
SKAP2,1.15E-06,9.95E-05,1.80E+00,1.80E+00,5.36E+01,2.98E+01
AC004241.3,4.31E-02,2.14E-01,1.80E+00,1.80E+00,3.52E+00,1.96E+00
ZNF658,6.43E-02,2.75E-01,1.80E+00,1.80E+00,4.09E+00,2.27E+00
AL031133.1,1.09E-02,8.91E-02,1.80E+00,1.80E+00,9.65E+00,5.37E+00
PPP1R12A-AS1,6.86E-02,2.84E-01,1.79E+00,1.79E+00,2.73E+00,1.52E+00
TSPAN31,7.86E-05,2.59E-03,1.79E+00,1.79E+00,1.05E+01,5.88E+00
EIF5A2,5.23E-03,5.47E-02,1.79E+00,1.79E+00,9.50E+00,5.31E+00
EXOC5P1,1.12E-02,9.10E-02,1.79E+00,1.79E+00,7.19E+00,4.02E+00
AC024580.1,2.06E-01,5.19E-01,1.79E+00,1.79E+00,1.52E+00,8.52E-01
THSD7A,6.28E-01,8.56E-01,1.79E+00,1.79E+00,6.45E+01,3.61E+01
RUSC2,2.97E-02,1.70E-01,1.79E+00,1.79E+00,4.00E+00,2.24E+00
ABLIM1,1.24E-05,5.97E-04,1.79E+00,1.79E+00,8.93E+01,5.00E+01
AC007240.1,1.09E-01,3.70E-01,1.78E+00,1.78E+00,3.09E+00,1.73E+00
SLC25A21-AS1,3.40E-01,6.67E-01,1.78E+00,1.78E+00,2.43E+00,1.36E+00
AL391121.1,1.73E-01,4.75E-01,1.78E+00,1.78E+00,1.24E+00,6.96E-01
AC025198.1,7.74E-01,9.19E-01,1.78E+00,1.78E+00,1.90E+00,1.06E+00
AL034370.1,7.78E-02,3.07E-01,1.78E+00,1.78E+00,7.02E+00,3.94E+00
GSN,1.20E-03,2.00E-02,1.78E+00,1.78E+00,1.24E+01,6.98E+00
ENTPD1-AS1,4.94E-02,2.34E-01,1.78E+00,1.78E+00,3.86E+00,2.17E+00
MON1A,7.21E-02,2.92E-01,1.78E+00,1.78E+00,3.19E+00,1.79E+00
RPS27P27,1.98E-01,5.11E-01,1.78E+00,1.78E+00,6.61E+00,3.71E+00
CLDN12,1.00E-02,8.47E-02,1.78E+00,1.78E+00,1.03E+01,5.79E+00
JDP2,1.13E-02,9.18E-02,1.77E+00,1.77E+00,2.55E+01,1.44E+01
POLRMTP1,6.44E-01,8.62E-01,1.77E+00,1.77E+00,2.90E+00,1.63E+00
AC135721.1,1.78E-01,4.83E-01,1.77E+00,1.77E+00,3.41E+00,1.92E+00
GPN2,2.61E-03,3.39E-02,1.77E+00,1.77E+00,1.08E+01,6.10E+00
FRY,3.05E-01,6.34E-01,1.77E+00,1.77E+00,1.75E+00,9.89E-01
CD302,1.17E-01,3.85E-01,1.77E+00,1.77E+00,3.72E+00,2.10E+00
HELB,5.13E-02,2.40E-01,1.77E+00,1.77E+00,1.24E+01,7.00E+00
TFPI2,1.13E-05,5.56E-04,1.77E+00,1.77E+00,1.39E+02,7.87E+01
AGL,1.12E-04,3.49E-03,1.77E+00,1.77E+00,1.86E+01,1.05E+01
IFI35,3.81E-03,4.45E-02,1.77E+00,1.77E+00,7.72E+00,4.37E+00
SH2B2,5.88E-02,2.62E-01,1.76E+00,1.76E+00,2.24E+00,1.27E+00
LRTOMT,1.43E-02,1.08E-01,1.76E+00,1.76E+00,5.43E+00,3.08E+00
CASC15,6.50E-01,8.64E-01,1.76E+00,1.76E+00,1.30E+01,7.37E+00
NDRG4,1.60E-03,2.43E-02,1.76E+00,1.76E+00,2.72E+01,1.55E+01
LINC01234,7.23E-01,9.00E-01,1.76E+00,1.76E+00,3.63E+01,2.06E+01
CNTNAP3B,9.72E-05,3.08E-03,1.76E+00,1.76E+00,4.11E+01,2.34E+01
ATF3,6.07E-02,2.67E-01,1.76E+00,1.76E+00,2.00E+00,1.14E+00
AC027031.2,2.72E-02,1.61E-01,1.75E+00,1.75E+00,4.57E+00,2.60E+00
SLC46A1,9.03E-03,7.89E-02,1.75E+00,1.75E+00,2.38E+01,1.36E+01
MFSD1,2.63E-03,3.42E-02,1.75E+00,1.75E+00,1.81E+01,1.03E+01
FGF7P6,2.28E-01,5.47E-01,1.75E+00,1.75E+00,2.22E+00,1.27E+00
GCNT2,7.62E-04,1.45E-02,1.75E+00,1.75E+00,2.64E+01,1.51E+01
CLU,7.20E-08,1.12E-05,1.74E+00,1.74E+00,7.34E+02,4.21E+02
BLVRB,3.88E-05,1.44E-03,1.74E+00,1.74E+00,1.74E+02,1.00E+02
UNC13B,2.01E-03,2.84E-02,1.74E+00,1.74E+00,6.83E+00,3.92E+00
TAOK3,2.10E-08,4.04E-06,1.74E+00,1.74E+00,8.18E+01,4.70E+01
AC064799.1,1.66E-01,4.63E-01,1.74E+00,1.74E+00,1.75E+01,1.00E+01
ANP32BP3,1.26E-01,4.01E-01,1.74E+00,1.74E+00,2.18E+00,1.25E+00
SDAD1P1,1.02E-01,3.57E-01,1.74E+00,1.74E+00,7.15E+00,4.11E+00
AC008966.1,1.16E-01,3.83E-01,1.74E+00,1.74E+00,3.16E+00,1.82E+00
PCK2,2.63E-02,1.58E-01,1.74E+00,1.74E+00,1.15E+01,6.59E+00
Mar-09,6.46E-03,6.39E-02,1.74E+00,1.74E+00,1.44E+01,8.30E+00
PPM1L,1.31E-01,4.09E-01,1.74E+00,1.74E+00,3.01E+00,1.73E+00
ZNF215,6.62E-02,2.80E-01,1.74E+00,1.74E+00,2.24E+00,1.29E+00
GLUL,7.35E-02,2.96E-01,1.73E+00,1.73E+00,4.84E+00,2.79E+00
CYP24A1,5.94E-01,8.43E-01,1.73E+00,1.73E+00,6.13E+01,3.54E+01
SHLD3,1.06E-01,3.66E-01,1.73E+00,1.73E+00,1.78E+00,1.03E+00
NABP1,8.77E-04,1.61E-02,1.73E+00,1.73E+00,1.46E+01,8.42E+00
TRAPPC6A,4.05E-03,4.63E-02,1.73E+00,1.73E+00,2.05E+01,1.19E+01
NGEF,1.95E-01,5.05E-01,1.73E+00,1.73E+00,5.05E+00,2.92E+00
TLCD1,3.87E-04,8.76E-03,1.73E+00,1.73E+00,3.13E+01,1.81E+01
ZNF160,1.06E-02,8.74E-02,1.73E+00,1.73E+00,4.88E+00,2.82E+00
CCDC28B,7.23E-02,2.92E-01,1.73E+00,1.73E+00,3.75E+00,2.17E+00
ZNF607,9.00E-04,1.63E-02,1.73E+00,1.73E+00,1.33E+01,7.69E+00
SMPD2,2.35E-01,5.54E-01,1.73E+00,1.73E+00,2.41E+00,1.39E+00
TRIM6,6.96E-01,8.87E-01,1.73E+00,1.73E+00,2.36E+01,1.37E+01
THRB,6.31E-02,2.72E-01,1.73E+00,1.73E+00,3.41E+00,1.98E+00
SUSD2,1.45E-02,1.09E-01,1.73E+00,1.73E+00,1.04E+01,6.03E+00
MAFF,3.69E-02,1.93E-01,1.73E+00,1.73E+00,4.06E+00,2.35E+00
FAM3C2,2.01E-02,1.34E-01,1.73E+00,1.73E+00,1.39E+01,8.06E+00
SUCLG2-AS1,3.97E-02,2.03E-01,1.73E+00,1.73E+00,4.93E+00,2.86E+00
TSPAN13,5.01E-02,2.36E-01,1.73E+00,1.73E+00,1.28E+01,7.40E+00
RHBDD1,3.06E-03,3.78E-02,1.73E+00,1.73E+00,8.55E+00,4.96E+00
AC022400.3,1.66E-01,4.63E-01,1.72E+00,1.72E+00,4.29E+00,2.49E+00
DEPDC4,2.51E-01,5.73E-01,1.72E+00,1.72E+00,2.54E+00,1.47E+00
AC116917.1,4.52E-02,2.21E-01,1.72E+00,1.72E+00,1.06E+01,6.15E+00
