Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
FAT4,5.31E-03,6.43E-02,2.27E+00,2.27E+00,3.36E+00,1.48E+00,1.182069593
ATOH8,5.05E-01,8.07E-01,2.26E+00,2.26E+00,1.98E+00,8.74E-01,1.177601856
MICB,4.39E-05,1.84E-03,2.26E+00,2.26E+00,1.50E+01,6.64E+00,1.177466678
TMC7,2.77E-02,1.85E-01,2.26E+00,2.26E+00,4.62E+00,2.04E+00,1.176959354
BCL6,5.20E-04,1.25E-02,2.26E+00,2.26E+00,6.42E+00,2.84E+00,1.174404696
CAPN5,6.84E-03,7.66E-02,2.26E+00,2.26E+00,4.82E+00,2.14E+00,1.173617198
DNAH5,5.49E-01,8.33E-01,2.26E+00,2.26E+00,4.96E+00,2.20E+00,1.173561709
ELL2,1.44E-07,2.06E-05,2.25E+00,2.25E+00,1.79E+01,7.93E+00,1.170941848
PLEKHA6,2.76E-03,4.10E-02,2.25E+00,2.25E+00,1.57E+01,7.00E+00,1.170028766
OSTF1,1.86E-02,1.45E-01,2.24E+00,2.24E+00,3.64E+00,1.63E+00,1.162204898
TTN-AS1,2.62E-02,1.79E-01,2.23E+00,2.23E+00,3.80E+00,1.70E+00,1.158271262
SCD5,1.76E-05,9.10E-04,2.23E+00,2.23E+00,1.39E+01,6.24E+00,1.157478803
MAPRE2,1.06E-07,1.65E-05,2.23E+00,2.23E+00,2.93E+01,1.31E+01,1.156763668
COL12A1,1.72E-04,5.42E-03,2.23E+00,2.23E+00,4.24E+00,1.91E+00,1.153919446
DNAJC22,2.43E-06,1.99E-04,2.22E+00,2.22E+00,3.03E+01,1.37E+01,1.151179215
PPP1R14A,1.22E-03,2.30E-02,2.22E+00,2.22E+00,6.69E+01,3.02E+01,1.14849459
SLC22A18,5.30E-04,1.26E-02,2.22E+00,2.22E+00,1.20E+01,5.41E+00,1.147992865
FGF7P6,8.47E-02,3.54E-01,2.21E+00,2.21E+00,2.22E+00,1.00E+00,1.146090847
TRAPPC6A,1.29E-03,2.40E-02,2.21E+00,2.21E+00,2.05E+01,9.29E+00,1.144240147
PNMA2,2.68E-05,1.27E-03,2.21E+00,2.21E+00,1.46E+01,6.60E+00,1.144139671
LACTB,1.19E-08,3.53E-06,2.21E+00,2.21E+00,7.67E+01,3.48E+01,1.141243774
CAVIN2,1.95E-06,1.66E-04,2.21E+00,2.21E+00,3.42E+01,1.55E+01,1.14104839
POC1B-AS1,1.44E-02,1.24E-01,2.20E+00,2.20E+00,4.41E+00,2.01E+00,1.138419516
NPM1P40,2.84E-03,4.19E-02,2.20E+00,2.20E+00,1.03E+01,4.69E+00,1.136647849
PALMD,4.35E-02,2.43E-01,2.19E+00,2.19E+00,3.30E+00,1.51E+00,1.131679903
CDRT4,1.43E-01,4.61E-01,2.19E+00,2.19E+00,2.21E+00,1.01E+00,1.130471032
GABARAPL1,5.08E-06,3.52E-04,2.19E+00,2.19E+00,2.11E+01,9.62E+00,1.129131514
PPFIBP2,6.62E-04,1.49E-02,2.18E+00,2.18E+00,2.47E+01,1.13E+01,1.127273716
PCDH9,1.05E-05,6.12E-04,2.18E+00,2.18E+00,3.84E+02,1.76E+02,1.123814496
AP006296.1,5.83E-02,2.88E-01,2.18E+00,2.18E+00,5.52E+00,2.53E+00,1.122950779
APOBEC3F,1.29E-02,1.16E-01,2.18E+00,2.18E+00,2.89E+00,1.33E+00,1.122813287
KLF9,8.36E-04,1.76E-02,2.18E+00,2.18E+00,5.35E+00,2.46E+00,1.121515944
OPHN1,6.81E-02,3.14E-01,2.17E+00,2.17E+00,2.29E+00,1.05E+00,1.117402716
STEAP2,5.21E-02,2.71E-01,2.17E+00,2.17E+00,6.73E+01,3.10E+01,1.117159343
NXN,7.95E-06,4.86E-04,2.17E+00,2.17E+00,5.77E+01,2.66E+01,1.116102435
LXN,2.63E-01,6.12E-01,2.17E+00,2.17E+00,3.09E+00,1.43E+00,1.11512953
FAM35BP,7.20E-02,3.24E-01,2.16E+00,2.16E+00,1.57E+00,7.27E-01,1.113706625
LINC01234,6.28E-01,8.73E-01,2.16E+00,2.16E+00,3.63E+01,1.68E+01,1.1129252
INO80C,5.87E-04,1.37E-02,2.16E+00,2.16E+00,8.31E+00,3.84E+00,1.11286461
VGLL3,2.74E-07,3.39E-05,2.16E+00,2.16E+00,1.66E+01,7.68E+00,1.111525023
AC107959.4,3.90E-02,2.28E-01,2.16E+00,2.16E+00,3.50E+00,1.62E+00,1.110935892
BNC2-AS1,2.88E-02,1.89E-01,2.16E+00,2.16E+00,2.97E+00,1.38E+00,1.109874778
SCN9A,5.34E-01,8.24E-01,2.16E+00,2.16E+00,2.23E+01,1.03E+01,1.108519172
IFIT2,5.22E-02,2.71E-01,2.16E+00,2.16E+00,1.49E+00,6.90E-01,1.108490503
ZNF185,3.60E-03,4.98E-02,2.15E+00,2.15E+00,8.55E+00,3.97E+00,1.106771701
TRANK1,1.79E-01,5.13E-01,2.15E+00,2.15E+00,1.63E+00,7.59E-01,1.106132192
PRKAG2,2.93E-05,1.37E-03,2.15E+00,2.15E+00,2.17E+01,1.01E+01,1.105225898
NDFIP2,3.77E-05,1.65E-03,2.15E+00,2.15E+00,1.70E+01,7.89E+00,1.104620103
RHOBTB1,1.99E-04,6.03E-03,2.15E+00,2.15E+00,1.86E+01,8.66E+00,1.103424617
RAB4B,5.03E-02,2.65E-01,2.15E+00,2.15E+00,3.98E+00,1.86E+00,1.102974234
ARHGAP29,7.61E-11,7.62E-08,2.15E+00,2.15E+00,1.03E+02,4.79E+01,1.102587713
AC078817.1,5.93E-02,2.91E-01,2.14E+00,2.14E+00,2.04E+00,9.50E-01,1.099960253
ARID5B,2.26E-04,6.56E-03,2.14E+00,2.14E+00,8.44E+00,3.94E+00,1.099833144
VAMP8,1.79E-05,9.23E-04,2.14E+00,2.14E+00,1.21E+01,5.66E+00,1.098511883
TGFB2-OT1,7.30E-04,1.60E-02,2.13E+00,2.13E+00,3.60E+01,1.69E+01,1.090448526
ZNF589,1.00E-02,9.80E-02,2.13E+00,2.13E+00,3.64E+00,1.71E+00,1.090035762
LINC01089,9.90E-03,9.73E-02,2.13E+00,2.13E+00,2.65E+00,1.25E+00,1.089664268
DCDC2,5.98E-01,8.59E-01,2.13E+00,2.13E+00,6.70E+01,3.15E+01,1.089318743
CD302,4.28E-02,2.41E-01,2.13E+00,2.13E+00,3.72E+00,1.75E+00,1.089255892
RPS27P27,9.40E-02,3.74E-01,2.13E+00,2.13E+00,6.61E+00,3.11E+00,1.088968281
SERTAD4-AS1,7.15E-02,3.23E-01,2.12E+00,2.12E+00,1.73E+00,8.14E-01,1.086382971
ZNF704,2.05E-05,1.03E-03,2.12E+00,2.12E+00,1.30E+01,6.15E+00,1.085209769
TRIM34,1.90E-03,3.18E-02,2.12E+00,2.12E+00,5.49E+00,2.59E+00,1.083855491
CXCL16,1.72E-04,5.43E-03,2.12E+00,2.12E+00,1.17E+01,5.53E+00,1.082526985
MFSD13A,2.96E-03,4.31E-02,2.12E+00,2.12E+00,3.49E+00,1.65E+00,1.080793125
CD38,6.04E-01,8.61E-01,2.11E+00,2.11E+00,5.14E+00,2.43E+00,1.080194704
SLC9A3R1,1.52E-06,1.41E-04,2.11E+00,2.11E+00,4.09E+01,1.93E+01,1.080095055
EIF4BP7,1.13E-02,1.06E-01,2.11E+00,2.11E+00,4.93E+00,2.33E+00,1.079926766
THRA,1.98E-08,4.93E-06,2.11E+00,2.11E+00,3.74E+01,1.77E+01,1.078773857
CCND1,4.90E-08,9.40E-06,2.11E+00,2.11E+00,2.67E+02,1.26E+02,1.078433116
DYRK3,9.85E-02,3.83E-01,2.11E+00,2.11E+00,2.23E+00,1.06E+00,1.076477636
AMOTL1,8.86E-05,3.21E-03,2.11E+00,2.11E+00,2.80E+01,1.33E+01,1.075474683
ADGRE1,4.46E-02,2.46E-01,2.11E+00,2.11E+00,1.20E+01,5.69E+00,1.075121442
OSMR-AS1,1.00E-01,3.85E-01,2.11E+00,2.11E+00,1.37E+00,6.52E-01,1.074823291
TMEM182,1.20E-01,4.22E-01,2.10E+00,2.10E+00,2.37E+00,1.13E+00,1.07325279
TBC1D4,2.33E-07,2.97E-05,2.10E+00,2.10E+00,2.33E+01,1.11E+01,1.071761184
CASTOR1,1.56E-03,2.74E-02,2.10E+00,2.10E+00,5.13E+00,2.44E+00,1.070422274
FMN1,1.97E-03,3.24E-02,2.10E+00,2.10E+00,8.90E+00,4.24E+00,1.070017056
TAOK3,1.62E-10,1.34E-07,2.10E+00,2.10E+00,8.18E+01,3.90E+01,1.069807842
DUTP5,4.89E-02,2.60E-01,2.10E+00,2.10E+00,2.77E+00,1.32E+00,1.068259433
RIPK2,1.50E-03,2.66E-02,2.10E+00,2.10E+00,2.18E+01,1.04E+01,1.068000997
AC026471.1,4.44E-02,2.45E-01,2.09E+00,2.09E+00,2.87E+00,1.37E+00,1.065550534
SERPINB1,7.29E-10,3.64E-07,2.09E+00,2.09E+00,6.34E+01,3.03E+01,1.06417175
BIRC3,3.83E-09,1.45E-06,2.09E+00,2.09E+00,7.96E+01,3.81E+01,1.06361059
RAB15,3.05E-05,1.40E-03,2.09E+00,2.09E+00,2.91E+01,1.39E+01,1.06279396
APLP1,2.84E-04,7.80E-03,2.09E+00,2.09E+00,2.97E+01,1.42E+01,1.061861112
CBLB,3.82E-03,5.18E-02,2.09E+00,2.09E+00,4.94E+00,2.37E+00,1.061069303
SEC31B,7.88E-02,3.41E-01,2.08E+00,2.08E+00,1.05E+00,5.05E-01,1.059439719
CAPG,1.29E-03,2.39E-02,2.08E+00,2.08E+00,2.50E+01,1.20E+01,1.059329321
TEKT4P2,1.77E-02,1.41E-01,2.08E+00,2.08E+00,4.14E+00,1.99E+00,1.058859383
NTN4,1.58E-03,2.77E-02,2.08E+00,2.08E+00,1.46E+01,7.00E+00,1.05877771
CCBE1,2.70E-03,4.04E-02,2.08E+00,2.08E+00,2.79E+00,1.34E+00,1.057302539
MTAP,5.32E-03,6.43E-02,2.08E+00,2.08E+00,7.78E+00,3.74E+00,1.056337357
SPATA6,5.53E-02,2.80E-01,2.08E+00,2.08E+00,2.69E+00,1.29E+00,1.055587996
CDC42EP1,1.21E-05,6.80E-04,2.07E+00,2.07E+00,2.09E+01,1.01E+01,1.050695963
SSH3,2.73E-03,4.07E-02,2.07E+00,2.07E+00,8.65E+00,4.18E+00,1.050169973
YES1P1,6.89E-02,3.17E-01,2.07E+00,2.07E+00,1.80E+00,8.68E-01,1.049800268
TLCD2,8.67E-07,9.00E-05,2.07E+00,2.07E+00,3.34E+01,1.61E+01,1.048979964
JDP2,1.46E-03,2.61E-02,2.07E+00,2.07E+00,2.55E+01,1.23E+01,1.048978096
CD24,1.96E-08,4.93E-06,2.07E+00,2.07E+00,4.54E+02,2.20E+02,1.04662057
IL32,2.05E-04,6.16E-03,2.06E+00,2.06E+00,8.99E+00,4.36E+00,1.046123574
PLXND1,9.21E-03,9.31E-02,2.06E+00,2.06E+00,7.82E+00,3.79E+00,1.043337603
AC019080.1,6.34E-01,8.75E-01,2.06E+00,2.06E+00,1.80E+00,8.72E-01,1.043061013
CRABP2,2.93E-01,6.41E-01,2.06E+00,2.06E+00,1.85E+00,8.98E-01,1.040161203
AC023157.3,6.66E-02,3.10E-01,2.05E+00,2.05E+00,3.87E+00,1.89E+00,1.039130326
DNAJC6,2.36E-02,1.67E-01,2.05E+00,2.05E+00,2.28E+00,1.11E+00,1.038347386
SYTL3,4.67E-02,2.53E-01,2.05E+00,2.05E+00,1.97E+00,9.61E-01,1.038229312
TPT1P9,3.54E-01,6.98E-01,2.05E+00,2.05E+00,4.29E+00,2.09E+00,1.037347839
AC135721.1,1.12E-01,4.06E-01,2.05E+00,2.05E+00,3.41E+00,1.67E+00,1.033849164
SLC35D2,5.41E-02,2.77E-01,2.04E+00,2.04E+00,1.04E+01,5.11E+00,1.031754924
FBN2,6.53E-01,8.84E-01,2.04E+00,2.04E+00,1.96E+01,9.60E+00,1.029958297
PDE6A,5.29E-01,8.21E-01,2.04E+00,2.04E+00,9.13E-01,4.47E-01,1.029675622
ST20-AS1,6.92E-02,3.17E-01,2.04E+00,2.04E+00,2.47E+00,1.21E+00,1.029327815
FLRT3,4.87E-03,6.07E-02,2.04E+00,2.04E+00,1.59E+01,7.78E+00,1.028713928
POLR3B,3.46E-05,1.56E-03,2.04E+00,2.04E+00,1.77E+01,8.71E+00,1.027463754
ZDHHC13,1.69E-02,1.35E-01,2.04E+00,2.04E+00,4.60E+00,2.26E+00,1.026438697
RAB8B,3.55E-07,4.17E-05,2.04E+00,2.04E+00,1.84E+01,9.02E+00,1.025925588
PPM1N,3.44E-02,2.12E-01,2.04E+00,2.04E+00,3.92E+00,1.93E+00,1.025229165
FYB1,5.59E-01,8.38E-01,2.03E+00,2.03E+00,3.47E+01,1.71E+01,1.020052983
SRGAP3,9.99E-02,3.85E-01,2.02E+00,2.02E+00,1.91E+00,9.46E-01,1.017484823
SH3BP2,1.51E-02,1.27E-01,2.02E+00,2.02E+00,2.49E+00,1.23E+00,1.017477346
ELOA-AS1,1.28E-01,4.38E-01,2.02E+00,2.02E+00,1.42E+00,7.03E-01,1.017199698
GPN2,2.15E-04,6.35E-03,2.02E+00,2.02E+00,1.08E+01,5.36E+00,1.011383878
GADD45B,1.96E-05,9.93E-04,2.01E+00,2.01E+00,1.55E+01,7.70E+00,1.009496448
C1QL1,1.16E-02,1.07E-01,2.01E+00,2.01E+00,2.83E+00,1.41E+00,1.006607752
PLS1,1.07E-05,6.23E-04,2.01E+00,2.01E+00,3.10E+01,1.54E+01,1.006431164
PORCN,6.47E-06,4.12E-04,2.01E+00,2.01E+00,1.35E+01,6.73E+00,1.005890143
FLVCR2,7.66E-02,3.35E-01,2.01E+00,2.01E+00,3.83E+00,1.91E+00,1.005216588
MYO18A,8.91E-05,3.21E-03,2.00E+00,2.00E+00,9.51E+01,4.75E+01,1.002994538
ZNF43,4.17E-02,2.37E-01,2.00E+00,2.00E+00,1.67E+00,8.35E-01,1.002987721
SNORD26,9.38E-02,3.74E-01,2.00E+00,2.00E+00,7.72E+00,3.86E+00,1.001899531
ASL,6.25E-03,7.21E-02,2.00E+00,2.00E+00,7.60E+00,3.80E+00,1.000004933
ZSCAN31,4.39E-02,2.44E-01,2.00E+00,2.00E+00,2.13E+00,1.07E+00,0.998225956
S100P,5.47E-01,8.32E-01,2.00E+00,2.00E+00,6.85E+00,3.43E+00,0.998219119
KRT18P13,6.26E-01,8.72E-01,2.00E+00,2.00E+00,6.26E+00,3.14E+00,0.996999816
CD82,1.18E-02,1.08E-01,1.99E+00,1.99E+00,3.27E+00,1.64E+00,0.995712951
JUP,5.81E-02,2.88E-01,1.99E+00,1.99E+00,3.69E+01,1.85E+01,0.995196566
PER3,9.40E-03,9.44E-02,1.99E+00,1.99E+00,4.37E+00,2.19E+00,0.994838109
RSPO3,6.23E-01,8.70E-01,1.99E+00,1.99E+00,3.65E+02,1.83E+02,0.994365083
PDGFC,4.87E-03,6.07E-02,1.99E+00,1.99E+00,8.16E+00,4.09E+00,0.994338851
PABPC1L,3.52E-03,4.89E-02,1.99E+00,1.99E+00,7.80E+00,3.92E+00,0.992276088
ANXA1,1.14E-08,3.53E-06,1.99E+00,1.99E+00,7.83E+02,3.94E+02,0.990364169
COL5A2,9.05E-07,9.25E-05,1.98E+00,1.98E+00,4.61E+01,2.33E+01,0.987984128
SC5D,3.11E-02,1.99E-01,1.98E+00,1.98E+00,1.05E+01,5.27E+00,0.987896839
LAMA3,6.13E-01,8.66E-01,1.98E+00,1.98E+00,1.11E+01,5.62E+00,0.987708563
PLAT,2.10E-02,1.56E-01,1.98E+00,1.98E+00,1.07E+00,5.38E-01,0.987252345
KTN1-AS1,6.52E-02,3.07E-01,1.98E+00,1.98E+00,2.05E+00,1.04E+00,0.985485357
CYP2S1,1.97E-02,1.50E-01,1.98E+00,1.98E+00,1.99E+01,1.01E+01,0.984090734
FBLIM1,1.82E-06,1.60E-04,1.98E+00,1.98E+00,2.26E+01,1.14E+01,0.983422898
HDAC5,2.07E-02,1.55E-01,1.98E+00,1.98E+00,2.92E+00,1.48E+00,0.982127091
FZD7,7.43E-03,8.14E-02,1.97E+00,1.97E+00,3.57E+00,1.81E+00,0.981772993
C2orf15,8.27E-02,3.50E-01,1.97E+00,1.97E+00,1.86E+00,9.43E-01,0.980145766
RPL32P3,3.47E-04,9.09E-03,1.97E+00,1.97E+00,9.59E+00,4.86E+00,0.978942468
ZNF814,6.18E-01,8.69E-01,1.97E+00,1.97E+00,1.14E+00,5.81E-01,0.978934309
GCC2,4.44E-07,5.12E-05,1.97E+00,1.97E+00,1.08E+02,5.48E+01,0.978553533
HILPDA,9.63E-08,1.54E-05,1.97E+00,1.97E+00,1.07E+02,5.41E+01,0.977305615
AL133216.2,9.53E-02,3.78E-01,1.97E+00,1.97E+00,1.75E+00,8.88E-01,0.977235444
KDELR3,1.22E-03,2.30E-02,1.97E+00,1.97E+00,7.74E+00,3.94E+00,0.976137124
LINC00294,2.64E-04,7.43E-03,1.97E+00,1.97E+00,1.30E+01,6.61E+00,0.975860049
ATF3,4.33E-02,2.43E-01,1.96E+00,1.96E+00,2.00E+00,1.02E+00,0.973639118
ZFP36L2,5.46E-03,6.57E-02,1.96E+00,1.96E+00,3.05E+01,1.55E+01,0.972132404
PTPRK,4.60E-03,5.82E-02,1.96E+00,1.96E+00,1.27E+01,6.47E+00,0.971905681
PTGS2,5.99E-01,8.59E-01,1.96E+00,1.96E+00,6.72E+01,3.43E+01,0.971242286
AC008969.1,6.96E-01,9.06E-01,1.96E+00,1.96E+00,1.88E+00,9.57E-01,0.97059772
EVC2,3.76E-02,2.22E-01,1.96E+00,1.96E+00,3.35E+00,1.71E+00,0.968857586
GCA,7.24E-01,9.19E-01,1.96E+00,1.96E+00,6.92E+00,3.54E+00,0.967889575
CCDC61,1.25E-01,4.32E-01,1.95E+00,1.95E+00,2.19E+00,1.12E+00,0.967115769
FRMD3,1.81E-01,5.16E-01,1.95E+00,1.95E+00,2.24E+00,1.15E+00,0.966186481
MICAL2,9.81E-10,4.70E-07,1.95E+00,1.95E+00,3.99E+01,2.05E+01,0.963426693
GPCPD1,2.50E-08,5.68E-06,1.95E+00,1.95E+00,2.78E+01,1.43E+01,0.963259335
ADSSL1,1.25E-02,1.13E-01,1.94E+00,1.94E+00,3.83E+00,1.97E+00,0.959645792
SH3RF2,1.67E-04,5.27E-03,1.94E+00,1.94E+00,1.22E+01,6.26E+00,0.959342369
GSDME,7.91E-06,4.86E-04,1.94E+00,1.94E+00,2.21E+01,1.14E+01,0.957025721
TUBB2B,2.43E-02,1.70E-01,1.94E+00,1.94E+00,5.08E+00,2.62E+00,0.953548991
HERC6,5.59E-01,8.38E-01,1.94E+00,1.94E+00,3.78E+00,1.95E+00,0.953402006
RABGGTA,3.58E-04,9.33E-03,1.94E+00,1.94E+00,8.45E+00,4.36E+00,0.953387111
FSBP,5.21E-01,8.16E-01,1.94E+00,1.94E+00,7.85E+00,4.06E+00,0.952959566
BAAT,6.16E-01,8.67E-01,1.93E+00,1.93E+00,1.68E+01,8.71E+00,0.951319709
TUBE1,2.23E-03,3.56E-02,1.93E+00,1.93E+00,4.62E+00,2.39E+00,0.948340458
CLU,5.35E-09,1.85E-06,1.93E+00,1.93E+00,7.34E+02,3.80E+02,0.947438392
ANKRD1,1.07E-03,2.08E-02,1.93E+00,1.93E+00,1.35E+01,6.99E+00,0.946730879
FIG4,1.10E-02,1.04E-01,1.92E+00,1.92E+00,4.56E+00,2.37E+00,0.943369162
USP53,2.23E-06,1.87E-04,1.92E+00,1.92E+00,4.53E+01,2.36E+01,0.941806188
SLC4A11,2.18E-03,3.50E-02,1.92E+00,1.92E+00,4.98E+00,2.59E+00,0.94146725
PHLDA2,3.29E-08,7.08E-06,1.92E+00,1.92E+00,1.05E+02,5.46E+01,0.940735935
UNC93B1,1.61E-04,5.11E-03,1.92E+00,1.92E+00,4.65E+01,2.43E+01,0.939615853
AC113398.1,1.46E-01,4.65E-01,1.92E+00,1.92E+00,4.73E+00,2.47E+00,0.938078535
PLD2,6.65E-02,3.10E-01,1.91E+00,1.91E+00,4.47E+00,2.33E+00,0.936715522
TMEM198B,2.56E-01,6.06E-01,1.91E+00,1.91E+00,1.11E+00,5.79E-01,0.934356322
KRT80,6.51E-07,6.94E-05,1.91E+00,1.91E+00,5.35E+01,2.80E+01,0.933807205
AC010460.3,1.12E-01,4.07E-01,1.91E+00,1.91E+00,4.92E+00,2.58E+00,0.93378498
EXPH5,3.38E-02,2.08E-01,1.91E+00,1.91E+00,2.55E+00,1.34E+00,0.933611366
MTRNR2L12,1.18E-01,4.19E-01,1.91E+00,1.91E+00,2.97E+01,1.56E+01,0.933457553
MVP,6.26E-07,6.85E-05,1.91E+00,1.91E+00,5.00E+01,2.62E+01,0.933115404
KRBA2,1.99E-02,1.51E-01,1.90E+00,1.90E+00,5.99E+00,3.15E+00,0.927279879
KDM5B,5.60E-07,6.24E-05,1.90E+00,1.90E+00,5.26E+01,2.77E+01,0.925796688
DGUOK-AS1,3.34E-02,2.07E-01,1.90E+00,1.90E+00,3.36E+00,1.77E+00,0.923827951
CNTN1,1.03E-03,2.05E-02,1.90E+00,1.90E+00,9.87E+01,5.20E+01,0.923260609
THRB,8.88E-03,9.08E-02,1.90E+00,1.90E+00,3.41E+00,1.80E+00,0.922674967
AL139099.4,1.23E-01,4.29E-01,1.89E+00,1.89E+00,3.01E+01,1.59E+01,0.921534254
PSD4,6.53E-01,8.84E-01,1.89E+00,1.89E+00,6.20E+00,3.27E+00,0.92095489
ALDOC,2.37E-01,5.83E-01,1.89E+00,1.89E+00,1.62E+00,8.53E-01,0.920812436
AHR,2.14E-05,1.06E-03,1.89E+00,1.89E+00,3.29E+01,1.74E+01,0.920543625
ACSS1,9.89E-05,3.43E-03,1.89E+00,1.89E+00,1.59E+01,8.42E+00,0.919406551
SH3BP1,4.57E-03,5.80E-02,1.89E+00,1.89E+00,2.68E+00,1.42E+00,0.918470161
BDH2,6.49E-02,3.06E-01,1.89E+00,1.89E+00,4.06E+00,2.15E+00,0.916712817
BMP4,1.57E-04,5.03E-03,1.89E+00,1.89E+00,9.55E+01,5.06E+01,0.916478437
RHOQP3,7.46E-01,9.28E-01,1.88E+00,1.88E+00,6.04E+00,3.20E+00,0.914379048
TMEM159,2.30E-02,1.65E-01,1.88E+00,1.88E+00,7.04E+00,3.73E+00,0.914075035
MLLT3,2.16E-07,2.81E-05,1.88E+00,1.88E+00,5.95E+01,3.16E+01,0.914069085
EHD4,2.08E-04,6.20E-03,1.88E+00,1.88E+00,1.21E+01,6.45E+00,0.913297515
KDM7A,9.95E-02,3.84E-01,1.88E+00,1.88E+00,2.76E+00,1.46E+00,0.912955646
AL139289.2,3.02E-01,6.49E-01,1.88E+00,1.88E+00,1.51E+00,8.01E-01,0.911441389
CRY2,3.94E-02,2.29E-01,1.88E+00,1.88E+00,2.93E+00,1.56E+00,0.910812767
CYP3A5,1.64E-01,4.89E-01,1.88E+00,1.88E+00,3.97E+00,2.12E+00,0.909829743
SPATA7,4.47E-04,1.11E-02,1.88E+00,1.88E+00,8.84E+00,4.71E+00,0.909807378
CPE,2.94E-02,1.91E-01,1.88E+00,1.88E+00,3.03E+00,1.62E+00,0.907894698
RN7SL3,1.45E-01,4.65E-01,1.88E+00,1.88E+00,6.29E+00,3.35E+00,0.907610519
FBXO32,1.20E-02,1.10E-01,1.87E+00,1.87E+00,3.97E+00,2.12E+00,0.90592011
LY6G5B,4.28E-02,2.41E-01,1.87E+00,1.87E+00,3.75E+00,2.01E+00,0.904103035
TSPAN13,1.84E-02,1.44E-01,1.87E+00,1.87E+00,1.28E+01,6.83E+00,0.903321757
SPHK1,1.68E-01,4.95E-01,1.87E+00,1.87E+00,1.64E+00,8.78E-01,0.902074134
PPARA,1.15E-02,1.07E-01,1.87E+00,1.87E+00,3.06E+00,1.64E+00,0.901481971
ANG,1.15E-01,4.13E-01,1.87E+00,1.87E+00,4.53E+00,2.43E+00,0.901161918
FYN,6.91E-01,9.03E-01,1.87E+00,1.87E+00,1.48E+00,7.94E-01,0.899675677
AC008581.2,5.28E-01,8.21E-01,1.87E+00,1.87E+00,6.07E+00,3.25E+00,0.899205169
CA12,1.77E-07,2.42E-05,1.86E+00,1.86E+00,5.71E+02,3.06E+02,0.898842449
AC126474.2,7.77E-02,3.38E-01,1.86E+00,1.86E+00,4.21E+00,2.26E+00,0.896642233
MOB3C,4.57E-02,2.50E-01,1.86E+00,1.86E+00,1.93E+00,1.04E+00,0.895841486
SNORD89,2.30E-02,1.65E-01,1.86E+00,1.86E+00,4.87E+00,2.62E+00,0.895579025
RNU4ATAC,2.01E-02,1.52E-01,1.86E+00,1.86E+00,4.52E+01,2.44E+01,0.892994623
SLPI,6.26E-01,8.72E-01,1.86E+00,1.86E+00,8.26E+00,4.45E+00,0.892723314
CARD6,6.58E-04,1.49E-02,1.85E+00,1.85E+00,9.29E+00,5.01E+00,0.890956441
GPR89B,2.77E-02,1.85E-01,1.85E+00,1.85E+00,5.36E+00,2.89E+00,0.890365631
AL021368.2,1.05E-01,3.95E-01,1.85E+00,1.85E+00,1.94E+00,1.05E+00,0.890083656
VAC14,2.04E-02,1.54E-01,1.85E+00,1.85E+00,3.15E+00,1.70E+00,0.889917344
AGAP9,1.01E-01,3.88E-01,1.85E+00,1.85E+00,7.02E+00,3.79E+00,0.88978962
OAS1,7.30E-01,9.21E-01,1.85E+00,1.85E+00,9.73E+00,5.26E+00,0.889052195
KBTBD3,5.59E-02,2.83E-01,1.85E+00,1.85E+00,2.09E+00,1.13E+00,0.888810664
CLCN4,4.05E-04,1.03E-02,1.85E+00,1.85E+00,9.64E+00,5.21E+00,0.88839363
GRB7,3.95E-02,2.29E-01,1.85E+00,1.85E+00,1.66E+01,8.98E+00,0.888126267
ITGB4,1.85E-06,1.61E-04,1.85E+00,1.85E+00,4.46E+01,2.41E+01,0.888123679
TSTD3,3.96E-02,2.29E-01,1.85E+00,1.85E+00,2.54E+00,1.37E+00,0.888033362
OLFML2A,5.44E-03,6.55E-02,1.85E+00,1.85E+00,5.73E+00,3.10E+00,0.887767985
MN1,7.23E-02,3.25E-01,1.85E+00,1.85E+00,1.47E+00,7.97E-01,0.887415743
MAST4,9.94E-05,3.43E-03,1.85E+00,1.85E+00,1.18E+01,6.38E+00,0.886066556
NKD1,1.08E-01,4.00E-01,1.85E+00,1.85E+00,3.95E+00,2.14E+00,0.885489274
USP20,1.01E-01,3.87E-01,1.85E+00,1.85E+00,2.19E+00,1.19E+00,0.88487953
CCDC28B,4.94E-02,2.62E-01,1.85E+00,1.85E+00,3.75E+00,2.03E+00,0.884250447
RNASEL,2.68E-02,1.81E-01,1.84E+00,1.84E+00,6.33E+00,3.43E+00,0.883275627
FCHSD1,1.38E-02,1.21E-01,1.84E+00,1.84E+00,5.12E+00,2.78E+00,0.882984665
KSR1,2.04E-03,3.32E-02,1.84E+00,1.84E+00,1.75E+01,9.50E+00,0.879516561
ARSA,5.80E-03,6.82E-02,1.84E+00,1.84E+00,4.93E+00,2.68E+00,0.879174543
