Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
GSTM3,6.54E-03,7.43E-02,2.56E+00,2.56E+00,5.11E+00,2.00E+00,1.354088402
C1QTNF1,1.58E-04,5.06E-03,2.55E+00,2.55E+00,1.21E+01,4.72E+00,1.352168238
ARHGEF18,7.18E-02,3.24E-01,2.55E+00,2.55E+00,6.03E+00,2.36E+00,1.351777367
RNASE4,2.65E-02,1.80E-01,2.54E+00,2.54E+00,4.02E+00,1.58E+00,1.347618927
TVP23C-CDRT4,5.66E-01,8.43E-01,2.54E+00,2.54E+00,6.26E+00,2.47E+00,1.342302484
GALNT4,5.44E-06,3.70E-04,2.53E+00,2.53E+00,1.11E+01,4.39E+00,1.341838892
AL359915.2,7.31E-03,8.07E-02,2.53E+00,2.53E+00,1.39E+00,5.50E-01,1.33932156
KCNK6,2.73E-05,1.29E-03,2.52E+00,2.52E+00,9.92E+00,3.93E+00,1.334062035
SYT15,2.53E-02,1.75E-01,2.52E+00,2.52E+00,2.34E+00,9.29E-01,1.333221247
PRR15,4.77E-01,7.87E-01,2.52E+00,2.52E+00,7.24E+00,2.88E+00,1.330739949
AC009133.1,3.34E-03,4.69E-02,2.51E+00,2.51E+00,2.61E+00,1.04E+00,1.328046377
PMS2P6,1.75E-01,5.07E-01,2.50E+00,2.50E+00,7.45E+00,2.98E+00,1.324334788
AC211476.3,2.62E-01,6.12E-01,2.50E+00,2.50E+00,5.29E+00,2.11E+00,1.324324788
IGFBP4,1.73E-09,7.18E-07,2.49E+00,2.49E+00,5.14E+02,2.06E+02,1.318956315
